Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
age-16-to-19,Age 16 to 19,age-16-to-19,,0,
age-20-to-29,Age 20 to 29,age-20-to-29,,1,
age-30-to-39,Age 30 to 39,age-30-to-39,,2,
age-40-and-over,Age 40 and over,age-40-and-over,,3,
total,Total,total,,4,
